,DATA_NOTIFICACAO,Date,FAIXA_ETARIA,count
0,01/04/2020,2020-01-04,10 A 19 ANOS,3
1,01/04/2020,2020-01-04,20 A 29 ANOS,8
2,01/04/2020,2020-01-04,30 A 39 ANOS,28
3,01/04/2020,2020-01-04,40 A 49 ANOS,7
4,01/04/2020,2020-01-04,50 A 59 ANOS,15
5,01/04/2020,2020-01-04,60 A 69 ANOS,9
6,01/04/2020,2020-01-04,70 A 79 ANOS,3
7,01/04/2020,2020-01-04,80 A 89 ANOS,5
8,01/04/2020,2020-01-04,<1ANO,3
18,01/05/2020,2020-01-05,<1ANO,1
17,01/05/2020,2020-01-05,80 A 89 ANOS,1
16,01/05/2020,2020-01-05,70 A 79 ANOS,1
15,01/05/2020,2020-01-05,60 A 69 ANOS,11
14,01/05/2020,2020-01-05,50 A 59 ANOS,18
11,01/05/2020,2020-01-05,20 A 29 ANOS,24
12,01/05/2020,2020-01-05,30 A 39 ANOS,26
10,01/05/2020,2020-01-05,10 A 19 ANOS,3
9,01/05/2020,2020-01-05,1 A 9 ANOS,3
13,01/05/2020,2020-01-05,40 A 49 ANOS,28
26,01/06/2020,2020-01-06,70 A 79 ANOS,19
29,01/06/2020,2020-01-06,<1ANO,16
28,01/06/2020,2020-01-06,90 OU MAIS,3
27,01/06/2020,2020-01-06,80 A 89 ANOS,3
25,01/06/2020,2020-01-06,60 A 69 ANOS,53
22,01/06/2020,2020-01-06,30 A 39 ANOS,247
23,01/06/2020,2020-01-06,40 A 49 ANOS,188
21,01/06/2020,2020-01-06,20 A 29 ANOS,175
20,01/06/2020,2020-01-06,10 A 19 ANOS,29
19,01/06/2020,2020-01-06,1 A 9 ANOS,11
24,01/06/2020,2020-01-06,50 A 59 ANOS,112
40,01/07/2020,2020-01-07,<1ANO,10
39,01/07/2020,2020-01-07,90 OU MAIS,12
38,01/07/2020,2020-01-07,80 A 89 ANOS,45
37,01/07/2020,2020-01-07,70 A 79 ANOS,87
36,01/07/2020,2020-01-07,60 A 69 ANOS,194
35,01/07/2020,2020-01-07,50 A 59 ANOS,352
33,01/07/2020,2020-01-07,30 A 39 ANOS,641
32,01/07/2020,2020-01-07,20 A 29 ANOS,442
31,01/07/2020,2020-01-07,10 A 19 ANOS,76
30,01/07/2020,2020-01-07,1 A 9 ANOS,35
34,01/07/2020,2020-01-07,40 A 49 ANOS,524
47,01/08/2020,2020-01-08,60 A 69 ANOS,117
51,01/08/2020,2020-01-08,<1ANO,6
49,01/08/2020,2020-01-08,80 A 89 ANOS,37
48,01/08/2020,2020-01-08,70 A 79 ANOS,67
46,01/08/2020,2020-01-08,50 A 59 ANOS,187
50,01/08/2020,2020-01-08,90 OU MAIS,17
44,01/08/2020,2020-01-08,30 A 39 ANOS,382
43,01/08/2020,2020-01-08,20 A 29 ANOS,240
42,01/08/2020,2020-01-08,10 A 19 ANOS,55
45,01/08/2020,2020-01-08,40 A 49 ANOS,297
41,01/08/2020,2020-01-08,1 A 9 ANOS,31
62,01/09/2020,2020-01-09,<1ANO,8
61,01/09/2020,2020-01-09,90 OU MAIS,17
